*FB(F=1)Tele	Strip	 IsBad
0	5	16 	  1
0	5	17 	  0
0	5	18 	  0
0	5	19 	  0
0	5	20 	  0
0	5	21 	  0
0	5	22 	  0
0	5	23 	  0
0	5	24 	  0
0	5	25 	  0
0	5	26 	  0
0	5	27 	  0
0	5	28 	  0
0	5	29 	  0
0	5	30 	  0
0	5	31 	  1
0	6	00 	  1
0	6	01 	  0
0	6	02 	  0
0	6	03 	  0
0	6	04 	  0
0	6	05 	  0
0	6	06 	  0
0	6	07 	  0
0	6	08 	  0
0	6	09 	  0
0	6	10 	  0
0	6	11 	  0
0	6	12 	  0
0	6	13 	  0
0	6	14 	  0
0	6	15 	  1
0	6	16 	  1
0	6	17 	  0
0	6	18 	  0
0	6	19 	  0
0	6	20 	  0
0	6	21 	  0
0	6	22 	  0
0	6	23 	  0
0	6	24 	  0
0	6	25 	  0
0	6	26 	  0
0	6	27 	  0
0	6	28 	  0
0	6	29 	  0
0	6	30 	  0
0	6	31 	  1
0	7	00 	  1
0	7	01 	  0
0	7	02 	  0
0	7	03 	  0
0	7	04 	  0
0	7	05 	  0
0	7	06 	  0
0	7	07 	  0
0	7	08 	  0
0	7	09 	  0
0	7	10 	  0
0	7	11 	  0
0	7	12 	  0
0	7	13 	  0
0	7	14 	  0
0	7	15 	  1
0	7	16 	  1
0	7	17 	  0
0	7	18 	  0
0	7	19 	  0
0	7	20 	  0
0	7	21 	  0
0	7	22 	  0
0	7	23 	  0
0	7	24 	  0
0	7	25 	  0
0	7	26 	  0
0	7	27 	  0
0	7	28 	  0
0	7	29 	  0
0	7	30 	  0
0	7	31 	  1
0	8	00 	  1
0	8	01 	  0
0	8	02 	  0
0	8	03 	  0
0	8	04 	  0
0	8	05 	  0
0	8	06 	  0
0	8	07 	  0
0	8	08 	  0
0	8	09 	  0
0	8	10 	  0
0	8	11 	  0
0	8	12 	  0
0	8	13 	  0
0	8	14 	  0
0	8	15 	  1
0	8	16 	  1
0	8	17 	  0
0	8	18 	  0
0	8	19 	  0
0	8	20 	  0
0	8	21 	  0
0	8	22 	  0
0	8	23 	  0
0	8	24 	  0
0	8	25 	  0
0	8	26 	  0
0	8	27 	  0
0	8	28 	  0
0	8	29 	  0
0	8	30 	  0
0	8	31 	  1
0	9	00 	  1
0	9	01 	  0
0	9	02 	  0
0	9	03 	  0
0	9	04 	  0
0	9	05 	  0
0	9	06 	  0
0	9	07 	  0
0	9	08 	  0
0	9	09 	  0
0	9	10 	  0
0	9	11 	  0
0	9	12 	  0
0	9	13 	  0
0	9	14 	  1
0	9	15 	  1
0	9	16 	  1
0	9	17 	  0
0	9	18 	  0
0	9	19 	  0
0	9	20 	  0
0	9	21 	  0
0	9	22 	  0
0	9	23 	  0
0	9	24 	  0
0	9	25 	  0
0	9	26 	  0
0	9	27 	  0
0	9	28 	  0
0	9	29 	  0
0	9	30 	  0
0	9	31 	  1
0	10	00 	  1
0	10	01 	  0
0	10	02 	  0
0	10	03 	  0
0	10	04 	  0
0	10	05 	  0
0	10	06 	  0
0	10	07 	  0
0	10	08 	  0
0	10	09 	  0
0	10	10 	  0
0	10	11 	  0
0	10	12 	  0
0	10	13 	  0
0	10	14 	  0
0	10	15 	  1
0	10	16 	  1
0	10	17 	  0
0	10	18 	  0
0	10	19 	  0
0	10	20 	  0
0	10	21 	  0
0	10	22 	  0
0	10	23 	  0
0	10	24 	  0
0	10	25 	  0
0	10	26 	  0
0	10	27 	  0
0	10	28 	  0
0	10	29 	  0
0	10	30 	  0
0	10	31 	  1
0	11	00 	  1
0	11	01 	  0
0	11	02 	  0
0	11	03 	  0
0	11	04 	  0
0	11	05 	  0
0	11	06 	  0
0	11	07 	  0
0	11	08 	  0
0	11	09 	  0
0	11	10 	  0
0	11	11 	  0
0	11	12 	  0
0	11	13 	  0
0	11	14 	  0
0	11	15 	  1
0	11	16 	  1
0	11	17 	  0
0	11	18 	  0
0	11	19 	  0
0	11	20 	  0
0	11	21 	  0
0	11	22 	  0
0	11	23 	  0
0	11	24 	  0
0	11	25 	  0
0	11	26 	  0
0	11	27 	  0
0	11	28 	  0
0	11	29 	  0
0	11	30 	  0
0	11	31 	  1
1	0	01 	  1
1	0	01 	  0
1	0	02 	  0
1	0	03 	  0
1	0	04 	  0
1	0	05 	  0
1	0	06 	  0
1	0	07 	  0
1	0	08 	  0
1	0	09 	  0
1	0	10 	  0
1	0	11 	  0
1	0	12 	  0
1	0	13 	  0
1	0	14 	  0
1	0	15 	  1
1	0	16 	  1
1	0	17 	  0
1	0	18 	  0
1	0	19 	  0
1	0	20 	  0
1	0	21 	  0
1	0	22 	  0
1	0	23 	  0
1	0	24 	  0
1	0	25 	  0
1	0	26 	  0
1	0	27 	  0
1	0	28 	  0
1	0	29 	  0
1	0	30 	  0
1	0	31 	  1
1	1	00 	  1
1	1	01 	  0
1	1	02 	  0
1	1	03 	  0
1	1	04 	  0
1	1	05 	  0
1	1	06 	  0
1	1	07 	  0
1	1	08 	  0
1	1	09 	  0
1	1	10 	  1
1	1	11 	  1
1	1	12 	  1
1	1	13 	  0
1	1	14 	  0
1	1	15 	  1
1	1	16 	  1
1	1	17 	  1
1	1	18 	  1
1	1	19 	  0
1	1	20 	  0
1	1	21 	  0
1	1	22 	  0
1	1	23 	  0
1	1	24 	  0
1	1	25 	  0
1	1	26 	  0
1	1	27 	  0
1	1	28 	  0
1	1	29 	  0
1	1	30 	  0
1	1	31 	  1
1	2	00 	  1
1	2	01 	  0
1	2	02 	  0
1	2	03 	  0
1	2	04 	  0
1	2	05 	  0
1	2	06 	  0
1	2	07 	  0
1	2	08 	  0
1	2	09 	  0
1	2	10 	  0
1	2	11 	  0
1	2	12 	  0
1	2	13 	  0
1	2	14 	  0
1	2	15 	  1
1	2	16 	  1
1	2	17 	  0
1	2	18 	  0
1	2	19 	  0
1	2	20 	  0
1	2	21 	  0
1	2	22 	  0
1	2	23 	  0
1	2	24 	  0
1	2	25 	  0
1	2	26 	  0
1	2	27 	  0
1	2	28 	  0
1	2	29 	  0
1	2	30 	  0
1	2	31 	  1
1	3	00 	  1
1	3	01 	  0
1	3	02 	  0
1	3	03 	  0
1	3	04 	  0
1	3	05 	  0
1	3	06 	  0
1	3	07 	  0
1	3	08 	  0
1	3	09 	  0
1	3	10 	  0
1	3	11 	  0
1	3	12 	  0
1	3	13 	  0
1	3	14 	  0
1	3	15 	  1
1	3	16 	  1
1	3	17 	  0
1	3	18 	  0
1	3	19 	  0
1	3	20 	  0
1	3	21 	  0
1	3	22 	  0
1	3	23 	  0
1	3	24 	  0
1	3	25 	  0
1	3	26 	  0
1	3	27 	  0
1	3	28 	  0
1	3	29 	  0
1	3	30 	  0
1	3	31 	  1
1	4	00 	  1
1	4	01 	  0
1	4	02 	  0
1	4	03 	  0
1	4	04 	  0
1	4	05 	  0
1	4	06 	  0
1	4	07 	  0
1	4	08 	  0
1	4	09 	  0
1	4	10 	  0
1	4	11 	  0
1	4	12 	  0
1	4	13 	  0
1	4	14 	  0
1	4	15 	  1
1	4	16 	  1
1	4	17 	  0
1	4	18 	  0
1	4	19 	  0
1	4	20 	  0
1	4	21 	  0
1	4	22 	  0
1	4	23 	  0
1	4	24 	  0
1	4	25 	  0
1	4	26 	  0
1	4	27 	  0
1	4	28 	  0
1	4	29 	  0
1	4	30 	  0
1	4	31 	  1
1	5	00 	  1
1	5	01 	  0
1	5	02 	  0
1	5	03 	  0
1	5	04 	  0
1	5	05 	  0
1	5	06 	  0
1	5	07 	  0
1	5	08 	  0
1	5	09 	  0
1	5	10 	  0
1	5	11 	  0
1	5	12 	  0
1	5	13 	  0
1	5	14 	  0
1	5	15 	  1
1	5	16 	  1
1	5	17 	  0
1	5	18 	  0
1	5	19 	  0
1	5	20 	  0
1	5	21 	  0
1	5	22 	  0
1	5	23 	  0
1	5	24 	  0
1	5	25 	  0
1	5	26 	  0
1	5	27 	  0
1	5	28 	  0
1	5	29 	  0
1	5	30 	  0
1	5	31 	  1
1	6	00 	  1
1	6	01 	  0
1	6	02 	  0
1	6	03 	  0
1	6	04 	  0
1	6	05 	  0
1	6	06 	  0
1	6	07 	  0
1	6	08 	  0
1	6	09 	  0
1	6	10 	  0
1	6	11 	  0
1	6	12 	  0
1	6	13 	  0
1	6	14 	  0
1	6	15 	  1
1	6	16 	  1
1	6	17 	  0
1	6	18 	  0
1	6	19 	  0
1	6	20 	  0
1	6	21 	  0
1	6	22 	  0
1	6	23 	  0
1	6	24 	  0
1	6	25 	  0
1	6	26 	  0
1	6	27 	  0
1	6	28 	  0
1	6	29 	  0
1	6	30 	  0
1	6	31 	  1
1	7	00 	  1
1	7	01 	  0
1	7	02 	  0
1	7	03 	  0
1	7	04 	  0
1	7	05 	  0
1	7	06 	  0
1	7	07 	  0
1	7	08 	  0
1	7	09 	  0
1	7	10 	  0
1	7	11 	  0
1	7	12 	  0
1	7	13 	  0
1	7	14 	  0
1	7	15 	  1
1	7	16 	  1
1	7	17 	  0
1	7	18 	  0
1	7	19 	  0
1	7	20 	  0
1	7	21 	  0
1	7	22 	  0
1	7	23 	  0
1	7	24 	  0
1	7	25 	  0
1	7	26 	  0
1	7	27 	  0
1	7	28 	  0
1	7	29 	  0
1	7	30 	  0
1	7	31 	  1
1	8	00 	  1
1	8	01 	  0
1	8	02 	  0
1	8	03 	  0
1	8	04 	  0
1	8	05 	  0
1	8	06 	  0
1	8	07 	  0
1	8	08 	  0
1	8	09 	  0
1	8	10 	  0
1	8	11 	  0
1	8	12 	  0
1	8	13 	  0
1	8	14 	  0
1	8	15 	  1
1	8	16 	  1
1	8	17 	  0
1	8	18 	  0
1	8	19 	  0
1	8	20 	  0
1	8	21 	  0
1	8	22 	  0
1	8	23 	  0
1	8	24 	  0
1	8	25 	  0
1	8	26 	  0
1	8	27 	  0
1	8	28 	  0
1	8	29 	  0
1	8	30 	  0
1	8	31 	  1
1	9	00 	  1
1	9	01 	  0
1	9	02 	  0
1	9	03 	  0
1	9	04 	  0
1	9	05 	  0
1	9	06 	  0
1	9	07 	  0
1	9	08 	  0
1	9	09 	  0
1	9	10 	  0
1	9	11 	  0
1	9	12 	  0
1	9	13 	  0
1	9	14 	  0
1	9	15 	  1
1	9	16 	  1
1	9	17 	  0
1	9	18 	  0
1	9	19 	  0
1	9	20 	  0
1	9	21 	  0
1	9	22 	  0
1	9	23 	  0
1	9	24 	  0
1	9	25 	  0
1	9	26 	  0
1	9	27 	  0
1	9	28 	  0
1	9	29 	  0
1	9	30 	  0
1	9	31 	  1
1	10	00 	  1
1	10	01 	  0
1	10	02 	  0
1	10	03 	  0
1	10	04 	  0
1	10	05 	  0
1	10	06 	  0
1	10	07 	  0
1	10	08 	  0
1	10	09 	  0
1	10	10 	  0
1	10	11 	  0
1	10	12 	  0
1	10	13 	  0
1	10	14 	  0
1	10	15 	  1
1	10	16 	  1
1	10	17 	  0
1	10	18 	  0
1	10	19 	  0
1	10	20 	  0
1	10	21 	  0
1	10	22 	  0
1	10	23 	  0
1	10	24 	  0
1	10	25 	  0
1	10	26 	  0
1	10	27 	  0
1	10	28 	  0
1	10	29 	  0
1	10	30 	  0
1	10	31 	  1
1	11	00 	  1
1	11	01 	  0
1	11	02 	  0
1	11	03 	  0
1	11	04 	  0
1	11	05 	  0
1	11	06 	  0
1	11	07 	  0
1	11	08 	  0
1	11	09 	  0
1	11	10 	  0
1	11	11 	  0
1	11	12 	  0
1	11	13 	  0
1	11	14 	  0
1	11	15 	  1
1	11	16 	  1
1	11	17 	  0
1	11	18 	  0
1	11	19 	  0
1	11	20 	  0
1	11	21 	  0
1	11	22 	  0
1	11	23 	  0
1	11	24 	  0
1	11	25 	  0
1	11	26 	  0
1	11	27 	  0
1	11	28 	  0
1	11	29 	  0
1	11	30 	  0
1	11	31 	  1
